"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 26 17:57:00 CST 2023","Fri May 26 17:57:00 CST 2023","340","testcases.Test_log_in","test_gettoken","TestCmsSongApi","","","成功获取token",""
"passed","Fri May 26 17:57:00 CST 2023","Fri May 26 17:57:01 CST 2023","200","testcases.Test_resource_manage","test_release_songsheet","TestCmsSongSheet","","","发布歌单",""
"passed","Fri May 26 17:57:00 CST 2023","Fri May 26 17:57:00 CST 2023","224","testcases.Test_resource_manage","test_release_songsheet","TestCmsSongSheet","","","发布歌单",""
"passed","Fri May 26 17:57:01 CST 2023","Fri May 26 17:57:01 CST 2023","232","testcases.Test_resource_manage","test_release_songsheet","TestCmsSongSheet","","","发布歌单",""
"passed","Fri May 26 17:57:01 CST 2023","Fri May 26 17:57:01 CST 2023","152","testcases.Test_resource_manage","test_song_refresh","TestCmsSongSheet","","","同步歌曲信息",""
